tipo_evento;min_convidados;max_convidados;fornecedores;decoracao;cardapio;atividades
generico;0;999999;pesquisar fornecedores locais|comparar preços|confirmar disponibilidade;usar decoração simples|adaptar ao tema|separar mesa principal;montar cardápio conforme o orçamento|incluir opção simples de bebida|calcular porções por convidado;planejar atividades de acordo com o público|separar música ambiente|definir horário principal
aniversario;1;50;confeitaria local|loja de doces|serviço de fotografia;balões coloridos|painel de fotos|mesa decorada;bolo simples|salgadinhos variados|refrigerantes e sucos;parabéns com bolo|playlist animada|jogos rápidos
aniversario;51;150;buffet de festas|empresa de decoração|equipe de som;arco de balões|painel temático|arranjos de mesa;mini jantar|mesa de doces|bebidas sem álcool;retrospectiva|karaokê|brincadeiras com convidados
casamento;1;80;cerimonial simples|floricultura|fotógrafo;flores naturais|velas decorativas|mesa dos noivos;entrada leve|jantar servido|bolo de casamento;entrada dos noivos|brinde|primeira dança
casamento;81;300;buffet completo|equipe de cerimonial|banda ou dj;arranjos altos|iluminação quente|passarela decorada;coquetel|jantar completo|mesa de sobremesas;cerimônia|dança dos noivos|jogando o buquê
reuniao;1;40;sala reservada|serviço de café|material de apoio;mesa organizada|identificação dos lugares|quadro de avisos;café|água e suco|lanches leves;apresentação inicial|discussão em grupo|encaminhamentos finais
formatura;20;250;empresa de becas|fotógrafo|buffet de eventos;painel da turma|mesa de homenagens|luzes decorativas;coquetel|jantar comemorativo|doces finos;entrega simbólica|homenagens|fotos oficiais
cha de bebe;1;80;loja de lembrancinhas|confeitaria|decorador;tons suaves|mesa de presentes|painel do bebê;sanduíches|docinhos|sucos naturais;adivinhar presentes|mensagens para o bebê|brincadeiras leves
confraternizacao;10;200;buffet regional|empresa de som|fornecedor de brindes;mesa coletiva|decoração com cores da equipe|espaço para fotos;churrasco simples|petiscos|bebidas variadas;sorteio de brindes|dinâmica em grupo|música ao vivo
festa infantil;1;120;animador infantil|buffet infantil|loja de brinquedos;tema infantil|mesa colorida|balões personalizados;mini salgados|cupcakes|sucos e água;caça ao tesouro|pintura facial|hora do parabéns
workshop;5;100;palestrante convidado|serviço de coffee break|empresa de impressão;sinalização das salas|mesa de credenciamento|projetor preparado;café e frutas|biscoitos|água para participantes;apresentação prática|perguntas e respostas|atividade em dupla
festival;50;500;food trucks|equipe de segurança|estrutura de palco;bandeirolas|iluminação externa|área de convivência;comidas variadas|bebidas geladas|opções vegetarianas;shows locais|oficinas rápidas|espaço para fotos
jantar;2;80;cozinheiro contratado|serviço de mesa|fornecedor de bebidas;toalhas de mesa|arranjos baixos|luz suave;entrada|prato principal|sobremesa;discurso curto|música ambiente|brinde final
